bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Webpack,c4d8a3c8d67239f6457fd7560d9bea14524ff4f0,d836bcb0275f5427876c069f8e6e00f1382bbed6,8081,https://github.com/webpack/webpack/issues/8081,https://github.com/webpack/webpack/tree/c4d8a3c8d67239f6457fd7560d9bea14524ff4f0,https://github.com/webpack/webpack/tree/d836bcb0275f5427876c069f8e6e00f1382bbed6,https://github.com/webpack/webpack/compare/c4d8a3c8d67239f6457fd7560d9bea14524ff4f0...d836bcb0275f5427876c069f8e6e00f1382bbed6
2,Webpack,54e30e05c0db5bc44e8f42a177c21a657b089a36,aab3afbef81511bfc2b8732fa17ff3e39e84d6fc,8085,https://github.com/webpack/webpack/issues/8085,https://github.com/webpack/webpack/tree/54e30e05c0db5bc44e8f42a177c21a657b089a36,https://github.com/webpack/webpack/tree/aab3afbef81511bfc2b8732fa17ff3e39e84d6fc,https://github.com/webpack/webpack/compare/54e30e05c0db5bc44e8f42a177c21a657b089a36...aab3afbef81511bfc2b8732fa17ff3e39e84d6fc
3,Webpack,df7da2cdd58e9534ae5e73a25e9c064b02c4d625,9da00cdb4200156321564f9e443aa3243f3d8f7f,8110,https://github.com/webpack/webpack/issues/8110,https://github.com/webpack/webpack/tree/df7da2cdd58e9534ae5e73a25e9c064b02c4d625,https://github.com/webpack/webpack/tree/9da00cdb4200156321564f9e443aa3243f3d8f7f,https://github.com/webpack/webpack/compare/df7da2cdd58e9534ae5e73a25e9c064b02c4d625...9da00cdb4200156321564f9e443aa3243f3d8f7f
4,Webpack,edcadbb0a107cf73010395b3fdd8ca65e66a11ad,b22f027f79d71fa700129bacaf075beac90c7f9a,8145,https://github.com/webpack/webpack/issues/8145,https://github.com/webpack/webpack/tree/edcadbb0a107cf73010395b3fdd8ca65e66a11ad,https://github.com/webpack/webpack/tree/b22f027f79d71fa700129bacaf075beac90c7f9a,https://github.com/webpack/webpack/compare/edcadbb0a107cf73010395b3fdd8ca65e66a11ad...b22f027f79d71fa700129bacaf075beac90c7f9a
5,Webpack,818983ada5859dd23df9558776640b38306703b6,84bc9bce482cf60e8d6333b1fc0e4dcf08e5c7e6,8298,https://github.com/webpack/webpack/issues/8298,https://github.com/webpack/webpack/tree/818983ada5859dd23df9558776640b38306703b6,https://github.com/webpack/webpack/tree/84bc9bce482cf60e8d6333b1fc0e4dcf08e5c7e6,https://github.com/webpack/webpack/compare/818983ada5859dd23df9558776640b38306703b6...84bc9bce482cf60e8d6333b1fc0e4dcf08e5c7e6
6,Webpack,dcd0d59d6242c887951388009dae5303f5733232,babe736cfa1ef7e8014ed32ba4a4ec38049dce14,8293,https://github.com/webpack/webpack/issues/8293,https://github.com/webpack/webpack/tree/dcd0d59d6242c887951388009dae5303f5733232,https://github.com/webpack/webpack/tree/babe736cfa1ef7e8014ed32ba4a4ec38049dce14,https://github.com/webpack/webpack/compare/dcd0d59d6242c887951388009dae5303f5733232...babe736cfa1ef7e8014ed32ba4a4ec38049dce14
7,Webpack,614a6fc0109a702ee64ca0b0982a0d638b1b6ca1,fd2133bc5b1d79f6bd6fb92f9d7453696d26cd60,8407,https://github.com/webpack/webpack/issues/8407,https://github.com/webpack/webpack/tree/614a6fc0109a702ee64ca0b0982a0d638b1b6ca1,https://github.com/webpack/webpack/tree/fd2133bc5b1d79f6bd6fb92f9d7453696d26cd60,https://github.com/webpack/webpack/compare/614a6fc0109a702ee64ca0b0982a0d638b1b6ca1...fd2133bc5b1d79f6bd6fb92f9d7453696d26cd60
8,Webpack,fa56ec880f352c77cd29d21a748e6e6c066c7ea7,32961f2aac213f4839c64349ad5fb4ba774e7f7f,8407,https://github.com/webpack/webpack/issues/8407,https://github.com/webpack/webpack/tree/fa56ec880f352c77cd29d21a748e6e6c066c7ea7,https://github.com/webpack/webpack/tree/32961f2aac213f4839c64349ad5fb4ba774e7f7f,https://github.com/webpack/webpack/compare/fa56ec880f352c77cd29d21a748e6e6c066c7ea7...32961f2aac213f4839c64349ad5fb4ba774e7f7f
9,Webpack,a1d480227553f5b3e5787078ec341c0961c6426a,cbeaf70dfdbb571caf7d220e1cca8d80ad0dd1e5,8407,https://github.com/webpack/webpack/issues/8407,https://github.com/webpack/webpack/tree/a1d480227553f5b3e5787078ec341c0961c6426a,https://github.com/webpack/webpack/tree/cbeaf70dfdbb571caf7d220e1cca8d80ad0dd1e5,https://github.com/webpack/webpack/compare/a1d480227553f5b3e5787078ec341c0961c6426a...cbeaf70dfdbb571caf7d220e1cca8d80ad0dd1e5
10,Webpack,72a8a1f97ee9ec74718ec0c669b5d1af45290903,4d24c5e78acfc4d51fad23a3d4af0ac20771096f,8445,https://github.com/webpack/webpack/issues/8445,https://github.com/webpack/webpack/tree/72a8a1f97ee9ec74718ec0c669b5d1af45290903,https://github.com/webpack/webpack/tree/4d24c5e78acfc4d51fad23a3d4af0ac20771096f,https://github.com/webpack/webpack/compare/72a8a1f97ee9ec74718ec0c669b5d1af45290903...4d24c5e78acfc4d51fad23a3d4af0ac20771096f
11,Webpack,72a8a1f97ee9ec74718ec0c669b5d1af45290903,3b46b48fa73bf659c064fc11c48b2f54acf653d2,8407,https://github.com/webpack/webpack/issues/8407,https://github.com/webpack/webpack/tree/72a8a1f97ee9ec74718ec0c669b5d1af45290903,https://github.com/webpack/webpack/tree/3b46b48fa73bf659c064fc11c48b2f54acf653d2,https://github.com/webpack/webpack/compare/72a8a1f97ee9ec74718ec0c669b5d1af45290903...3b46b48fa73bf659c064fc11c48b2f54acf653d2
12,Webpack,f944002bcd75c378e274787dea5574666a705744,2f4296e8d9ed2d46220628e9c9005258c0f49236,8455,https://github.com/webpack/webpack/issues/8455,https://github.com/webpack/webpack/tree/f944002bcd75c378e274787dea5574666a705744,https://github.com/webpack/webpack/tree/2f4296e8d9ed2d46220628e9c9005258c0f49236,https://github.com/webpack/webpack/compare/f944002bcd75c378e274787dea5574666a705744...2f4296e8d9ed2d46220628e9c9005258c0f49236
13,Webpack,e871eeb121a69efd6cbfa56f977d5843bf030202,6c22ca2b9629dbb95b762dd1447ee0779d18b6f9,8522,https://github.com/webpack/webpack/issues/8522,https://github.com/webpack/webpack/tree/e871eeb121a69efd6cbfa56f977d5843bf030202,https://github.com/webpack/webpack/tree/6c22ca2b9629dbb95b762dd1447ee0779d18b6f9,https://github.com/webpack/webpack/compare/e871eeb121a69efd6cbfa56f977d5843bf030202...6c22ca2b9629dbb95b762dd1447ee0779d18b6f9
14,Webpack,7a6a71f1e9349f86833de12a673805621f0fc6f6,bc368c76119d75981b7d9153cd1c3c52c17dc564,8538,https://github.com/webpack/webpack/issues/8538,https://github.com/webpack/webpack/tree/7a6a71f1e9349f86833de12a673805621f0fc6f6,https://github.com/webpack/webpack/tree/bc368c76119d75981b7d9153cd1c3c52c17dc564,https://github.com/webpack/webpack/compare/7a6a71f1e9349f86833de12a673805621f0fc6f6...bc368c76119d75981b7d9153cd1c3c52c17dc564
15,Webpack,25bccd4c487a5bf743efc62947d81a8eaa81a90f,42007e882ae66401ea09dcbc27cbafcc3cd3217f,8666,https://github.com/webpack/webpack/issues/8666,https://github.com/webpack/webpack/tree/25bccd4c487a5bf743efc62947d81a8eaa81a90f,https://github.com/webpack/webpack/tree/42007e882ae66401ea09dcbc27cbafcc3cd3217f,https://github.com/webpack/webpack/compare/25bccd4c487a5bf743efc62947d81a8eaa81a90f...42007e882ae66401ea09dcbc27cbafcc3cd3217f
16,Webpack,3496426aa0a951c183ce2341480abc799d199dd6,ab517aa080979e2a0aabe2186ca768d64ce76624,8829,https://github.com/webpack/webpack/issues/8829,https://github.com/webpack/webpack/tree/3496426aa0a951c183ce2341480abc799d199dd6,https://github.com/webpack/webpack/tree/ab517aa080979e2a0aabe2186ca768d64ce76624,https://github.com/webpack/webpack/compare/3496426aa0a951c183ce2341480abc799d199dd6...ab517aa080979e2a0aabe2186ca768d64ce76624
17,Webpack,5ca4a3f559f7b58b21543761adbec78a458ac44f,255b3b460de20e5984b191280e004656ef81bc70,8908,https://github.com/webpack/webpack/issues/8908,https://github.com/webpack/webpack/tree/5ca4a3f559f7b58b21543761adbec78a458ac44f,https://github.com/webpack/webpack/tree/255b3b460de20e5984b191280e004656ef81bc70,https://github.com/webpack/webpack/compare/5ca4a3f559f7b58b21543761adbec78a458ac44f...255b3b460de20e5984b191280e004656ef81bc70
18,Webpack,b41e2c68a5d707bd2d315b7b10f6b714c78f0474,451c7c65a9cad851a065d5ef4e27541e70f2bd1f,8874,https://github.com/webpack/webpack/issues/8874,https://github.com/webpack/webpack/tree/b41e2c68a5d707bd2d315b7b10f6b714c78f0474,https://github.com/webpack/webpack/tree/451c7c65a9cad851a065d5ef4e27541e70f2bd1f,https://github.com/webpack/webpack/compare/b41e2c68a5d707bd2d315b7b10f6b714c78f0474...451c7c65a9cad851a065d5ef4e27541e70f2bd1f
19,Webpack,b41e2c68a5d707bd2d315b7b10f6b714c78f0474,97d58d31c064df4bd3823957df01b338ae690f54,8833,https://github.com/webpack/webpack/issues/8833,https://github.com/webpack/webpack/tree/b41e2c68a5d707bd2d315b7b10f6b714c78f0474,https://github.com/webpack/webpack/tree/97d58d31c064df4bd3823957df01b338ae690f54,https://github.com/webpack/webpack/compare/b41e2c68a5d707bd2d315b7b10f6b714c78f0474...97d58d31c064df4bd3823957df01b338ae690f54
20,Webpack,451c7c65a9cad851a065d5ef4e27541e70f2bd1f,9dfccdf75ccffb087334298a979f09bba21fe30b,8874,https://github.com/webpack/webpack/issues/8874,https://github.com/webpack/webpack/tree/451c7c65a9cad851a065d5ef4e27541e70f2bd1f,https://github.com/webpack/webpack/tree/9dfccdf75ccffb087334298a979f09bba21fe30b,https://github.com/webpack/webpack/compare/451c7c65a9cad851a065d5ef4e27541e70f2bd1f...9dfccdf75ccffb087334298a979f09bba21fe30b
21,Webpack,1d2833241ba486ee6dc0254ac1d839142c360fa6,eb9e875c129a4e65fb286dffe36b4b8b485a2764,8874,https://github.com/webpack/webpack/issues/8874,https://github.com/webpack/webpack/tree/1d2833241ba486ee6dc0254ac1d839142c360fa6,https://github.com/webpack/webpack/tree/eb9e875c129a4e65fb286dffe36b4b8b485a2764,https://github.com/webpack/webpack/compare/1d2833241ba486ee6dc0254ac1d839142c360fa6...eb9e875c129a4e65fb286dffe36b4b8b485a2764
22,Webpack,e51c47abda067d94e476209801a85bf1eb3f6353,99897ff87d25086047f3ceb9d04395c1a6feef63,8949,https://github.com/webpack/webpack/issues/8949,https://github.com/webpack/webpack/tree/e51c47abda067d94e476209801a85bf1eb3f6353,https://github.com/webpack/webpack/tree/99897ff87d25086047f3ceb9d04395c1a6feef63,https://github.com/webpack/webpack/compare/e51c47abda067d94e476209801a85bf1eb3f6353...99897ff87d25086047f3ceb9d04395c1a6feef63
23,Webpack,8499d53f6f38914bac1add02eba47d556273b58b,2ddf3a059186e96c8190d5f91ca026c352d640dd,8259,https://github.com/webpack/webpack/issues/8259,https://github.com/webpack/webpack/tree/8499d53f6f38914bac1add02eba47d556273b58b,https://github.com/webpack/webpack/tree/2ddf3a059186e96c8190d5f91ca026c352d640dd,https://github.com/webpack/webpack/compare/8499d53f6f38914bac1add02eba47d556273b58b...2ddf3a059186e96c8190d5f91ca026c352d640dd
24,Webpack,7110f56d953452714769b3fe4bde66ddf24bc308,f03c4f127ae568ae451246a387a65419a675401c,8968,https://github.com/webpack/webpack/issues/8968,https://github.com/webpack/webpack/tree/7110f56d953452714769b3fe4bde66ddf24bc308,https://github.com/webpack/webpack/tree/f03c4f127ae568ae451246a387a65419a675401c,https://github.com/webpack/webpack/compare/7110f56d953452714769b3fe4bde66ddf24bc308...f03c4f127ae568ae451246a387a65419a675401c
25,Webpack,36c7ab73abe4e8a24285e4d7f19fa8e791160cf7,a4bbdae0d247e4e37de31d7c422324aecac0ad9f,9146,https://github.com/webpack/webpack/issues/9146,https://github.com/webpack/webpack/tree/36c7ab73abe4e8a24285e4d7f19fa8e791160cf7,https://github.com/webpack/webpack/tree/a4bbdae0d247e4e37de31d7c422324aecac0ad9f,https://github.com/webpack/webpack/compare/36c7ab73abe4e8a24285e4d7f19fa8e791160cf7...a4bbdae0d247e4e37de31d7c422324aecac0ad9f
26,Webpack,70c28f929b457a1fb8c4f37c7c329d3268dd64f1,b34da271a1af83b26a2b4eeff51dfb7fa8f48425,9154,https://github.com/webpack/webpack/issues/9154,https://github.com/webpack/webpack/tree/70c28f929b457a1fb8c4f37c7c329d3268dd64f1,https://github.com/webpack/webpack/tree/b34da271a1af83b26a2b4eeff51dfb7fa8f48425,https://github.com/webpack/webpack/compare/70c28f929b457a1fb8c4f37c7c329d3268dd64f1...b34da271a1af83b26a2b4eeff51dfb7fa8f48425
27,Webpack,bbe71d89cb7a8c1cc81ce1e17929d8de2260ff80,5b08ab51c3fde7d01d3b92f97c9d5195a89e93cf,9156,https://github.com/webpack/webpack/issues/9156,https://github.com/webpack/webpack/tree/bbe71d89cb7a8c1cc81ce1e17929d8de2260ff80,https://github.com/webpack/webpack/tree/5b08ab51c3fde7d01d3b92f97c9d5195a89e93cf,https://github.com/webpack/webpack/compare/bbe71d89cb7a8c1cc81ce1e17929d8de2260ff80...5b08ab51c3fde7d01d3b92f97c9d5195a89e93cf
28,Webpack,6ca9167e9ed0b66e971f9510fe5ea40b364be1b7,fec26a9503375650a57c24851ff9b30e62653201,9159,https://github.com/webpack/webpack/issues/9159,https://github.com/webpack/webpack/tree/6ca9167e9ed0b66e971f9510fe5ea40b364be1b7,https://github.com/webpack/webpack/tree/fec26a9503375650a57c24851ff9b30e62653201,https://github.com/webpack/webpack/compare/6ca9167e9ed0b66e971f9510fe5ea40b364be1b7...fec26a9503375650a57c24851ff9b30e62653201
29,Webpack,671cb184e34e748e7c3e1d724ee24263c18c19e9,46b428b9d9f946bfb65f68a7899d96e09b8c8e38,9198,https://github.com/webpack/webpack/issues/9198,https://github.com/webpack/webpack/tree/671cb184e34e748e7c3e1d724ee24263c18c19e9,https://github.com/webpack/webpack/tree/46b428b9d9f946bfb65f68a7899d96e09b8c8e38,https://github.com/webpack/webpack/compare/671cb184e34e748e7c3e1d724ee24263c18c19e9...46b428b9d9f946bfb65f68a7899d96e09b8c8e38
30,Webpack,81cf088cd6a0231b94fa2399bd29294eccee1907,1c6e7a9344c960a51a54c71616ce20f7a579ce44,9025,https://github.com/webpack/webpack/issues/9025,https://github.com/webpack/webpack/tree/81cf088cd6a0231b94fa2399bd29294eccee1907,https://github.com/webpack/webpack/tree/1c6e7a9344c960a51a54c71616ce20f7a579ce44,https://github.com/webpack/webpack/compare/81cf088cd6a0231b94fa2399bd29294eccee1907...1c6e7a9344c960a51a54c71616ce20f7a579ce44
31,Webpack,acf2c2d4b19117aa6562ea6885da2dbfade369fc,e04b1a52a0c743cd002f2ca78337b3747f2e3137,9253,https://github.com/webpack/webpack/issues/9253,https://github.com/webpack/webpack/tree/acf2c2d4b19117aa6562ea6885da2dbfade369fc,https://github.com/webpack/webpack/tree/e04b1a52a0c743cd002f2ca78337b3747f2e3137,https://github.com/webpack/webpack/compare/acf2c2d4b19117aa6562ea6885da2dbfade369fc...e04b1a52a0c743cd002f2ca78337b3747f2e3137
32,Webpack,c2f3881e341e6220b194ecd9c7db893287c8540f,e9b8b00b4fe3189e3134b63de473936bc71fba5d,9288,https://github.com/webpack/webpack/issues/9288,https://github.com/webpack/webpack/tree/c2f3881e341e6220b194ecd9c7db893287c8540f,https://github.com/webpack/webpack/tree/e9b8b00b4fe3189e3134b63de473936bc71fba5d,https://github.com/webpack/webpack/compare/c2f3881e341e6220b194ecd9c7db893287c8540f...e9b8b00b4fe3189e3134b63de473936bc71fba5d
33,Webpack,e41e945d8d547fc49737888d7924508a12b6da18,fbff5f3c7558b266990cb37168eb125ae650b341,9296,https://github.com/webpack/webpack/issues/9296,https://github.com/webpack/webpack/tree/e41e945d8d547fc49737888d7924508a12b6da18,https://github.com/webpack/webpack/tree/fbff5f3c7558b266990cb37168eb125ae650b341,https://github.com/webpack/webpack/compare/e41e945d8d547fc49737888d7924508a12b6da18...fbff5f3c7558b266990cb37168eb125ae650b341
34,Webpack,95d21bb39a1e700f28be776b300492c50a169fc7,1f966eb9d073b9233ddd6b70fa8673111652a85f,9424,https://github.com/webpack/webpack/issues/9424,https://github.com/webpack/webpack/tree/95d21bb39a1e700f28be776b300492c50a169fc7,https://github.com/webpack/webpack/tree/1f966eb9d073b9233ddd6b70fa8673111652a85f,https://github.com/webpack/webpack/compare/95d21bb39a1e700f28be776b300492c50a169fc7...1f966eb9d073b9233ddd6b70fa8673111652a85f
